age,hours,vibration,temperature,cost
5,210,4.191,78.12,41976.52
7,180,3.123,82.44,38512.88
3,250,2.542,65.33,30844.63
10,200,4.512,85.12,52107.34
6,220,3.823,75.45,44891.12
12,150,1.212,88.77,42134.23
4,270,2.832,70.22,34981.55
9,190,3.954,80.11,48620.11
2,280,0.934,62.55,29015.44
8,210,4.012,77.33,45033.22
1,150,0.567,61.12,21055.76
11,170,3.521,85.44,49672.91
5,200,2.321,73.22,38451.23
6,230,3.012,76.44,44012.89
7,190,4.123,79.11,46021.55
3,220,1.932,65.77,34012.44
8,200,3.712,81.33,47034.77
9,250,4.512,84.12,53021.88
2,180,0.812,63.22,27512.11
4,210,2.732,72.44,37021.33
5,240,3.212,75.55,42033.77
6,230,4.012,78.22,46022.44
7,200,3.954,80.11,45512.99
8,190,2.542,79.33,42511.12
9,210,3.623,82.44,49521.44
10,220,4.212,83.55,52012.11
11,230,4.123,86.12,54011.99
12,210,3.823,88.33,52533.77
13,200,3.712,85.11,51544.22
14,190,2.912,80.44,48012.33
1,150,0.612,60.33,21022.88
2,160,1.012,62.22,24511.77
3,170,1.532,65.44,27512.55
4,180,2.012,70.11,31522.44
5,190,2.432,75.22,36012.66
6,200,2.823,76.44,39522.88
7,210,3.112,78.33,43012.11
8,220,3.412,80.44,47021.44
9,230,3.712,82.55,51012.33
10,240,4.012,85.12,54021.77
11,250,4.212,87.33,56012.99
12,260,4.512,88.44,58021.55
13,270,4.712,89.33,60012.22
14,280,4.912,90.44,62021.88
1,100,0.512,60.33,20512.44
2,110,0.712,62.22,23012.77
3,120,1.012,63.11,25521.11
4,130,1.212,65.22,28012.33
5,140,1.512,70.33,32021.55
6,150,1.823,72.44,34512.88
7,160,2.012,75.33,38012.22
8,170,2.312,77.44,41021.44
9,180,2.512,80.22,44012.33
10,190,2.812,82.33,47021.55
